"Start Time","End Time","Activity ID","Activity Name","Description","Location Name","Time Zone","Offset","Duration (h:m:s)","Elapsed Duration (h:m:s)","Moving Duration (h:m:s)","Activity Parent","Activity Type","Event Type","Device","Gear","Privacy","File Format","Distance (km)","Average Speed (km/h)","Average Speed (km/h or min/km)","Average Moving Speed (km/h)","Average Moving Speed (km/h or min/km)","Max. Speed (km/h)","Max. Speed (km/h or min/km)","Elevation Gain (m)","Elevation Loss (m)","Elevation Min. (m)","Elevation Max. (m)","Elevation Corrected","Begin Latitude (°DD)","Begin Longitude (°DD)","End Latitude (°DD)","End Longitude (°DD)","Max. Heart Rate (bpm)","Average Heart Rate (bpm)","Calories","VO2max","Aerobic Training Effect","Anaerobic Training Effect","Avg. Run Cadence","Max. Run Cadence","Stride Length","Steps","Avg. Cadence (rpm)","Max. Cadence (rpm)","Strokes","Avg. Temp (°C)","Min. Temp (°C)","Max. Temp (°C)"
"2023-01-24T19:27:15+18:00","2023-01-24T20:07:39+18:00","10375433707","Indoor Running","","","America/Chicago","+18:00","00:40:24","00:40:24","00:40:14","Running","Indoor Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","6.46164","9.597599601745605","06:15","9.637638196665423","06:14","15.552000617980957","03:51","","","","","false","","","","","186","158","515","","3.6","0.8","151.27","178.0","105.74","6094","","","","26.0","25.0","26.0"
"2023-01-19T11:37:15+18:00","2023-01-19T12:10:32+18:00","10340955744","Oxford Running","","Oxford","America/Chicago","+18:00","00:33:17","00:33:17","00:33:16","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","4.84729","8.737200164794922","06:52","8.74461384873999","06:52","10.68120002746582","05:37","20.0","16.0","141.8","152.2","false","34.352625","-89.544550","34.339958","-89.553614","166","153","381","46.0","3.0","","150.34","162.0","96.87","4988","","","","23.648626252483872","23.0","26.0"
"2023-01-18T15:47:43+18:00","2023-01-18T16:29:22+18:00","10336104052","Oxford Running","","Oxford","America/Chicago","+18:00","00:41:39","00:41:39","00:41:18","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","6.44451","9.28439998626709","06:28","9.36268795915802","06:25","19.346400260925293","03:06","59.0","60.0","125.0","138.0","false","34.365640","-89.523386","34.364508","-89.538708","189","159","520","46.0","4.0","1.9","145.31","191.0","106.9","6052","","","","25.535489067922718","24.0","27.0"
"2023-01-17T17:49:54+18:00","2023-01-17T18:23:21+18:00","10329945132","Oxford Running","","Oxford","America/Chicago","+18:00","00:33:27","00:33:27","00:33:24","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","4.89574","8.784000205993653","06:50","8.796037686898565","06:49","11.354400157928467","05:17","13.0","18.0","144.0","155.4","false","34.352888","-89.544239","34.340525","-89.553300","165","154","372","46.0","3.0","","150.22","166.0","97.48","5016","","","","22.17628342016409","19.0","27.0"
"2023-01-15T16:31:32+18:00","2023-01-15T17:31:22+18:00","10316946346","Oxford Running","","Oxford","America/Chicago","+18:00","00:59:50","00:59:50","00:59:42","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","9.66081","9.687599945068358","06:12","9.709418723985237","06:11","15.552000617980957","03:51","70.0","60.0","123.8","147.6","false","34.365790","-89.523272","34.364513","-89.538501","182","159","731","47.0","4.2","2.0","152.38","168.0","105.93","9072","","","","19.059627793456052","16.0","26.0"
"2023-01-12T18:08:49+18:00","2023-01-12T18:39:47+18:00","10297781958","Indoor Running","","","America/Chicago","+18:00","00:30:53","00:30:58","00:30:42","Running","Indoor Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","4.91631","9.554400157928468","06:17","9.610270512616223","06:15","19.11240005493164","03:08","","","","","false","","","","","179","157","395","","4.0","0.1","152.61","184.0","104.36","4708","","","","24.98106427190819","23.0","26.0"
"2023-01-10T16:10:50+18:00","2023-01-10T16:46:26+18:00","10287339085","Oxford Running","","Oxford","America/Chicago","+18:00","00:32:33","00:35:36","00:32:06","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","4.85054","8.938800144195557","06:43","9.066867870568796","06:37","22.60800075531006","02:39","17.0","17.0","139.2","149.4","false","34.352854","-89.544439","34.340096","-89.553452","181","155","381","46.0","3.4","1.2","147.42","192.0","101.02","4842","","","","24.981993105619697","23.0","26.0"
"2023-01-09T16:07:39+18:00","2023-01-09T16:36:49+18:00","10277492175","Oxford Running","","Oxford","America/Chicago","+18:00","00:29:10","00:29:10","00:29:08","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","4.86689","10.015200233459472","05:59","10.024978037413312","05:59","15.721200370788575","03:49","14.0","14.0","146.8","156.6","false","34.353230","-89.544117","34.340499","-89.552964","191","160","366","47.0","3.8","2.1","154.3","174.0","108.11","4472","","","","23.003092270782826","21.0","25.0"
"2023-01-08T08:10:06+18:00","2023-01-08T09:10:33+18:00","10268834438","Oxford Running","","Oxford","America/Chicago","+18:00","01:00:27","01:00:27","01:00:20","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","9.66967","9.597599601745605","06:15","9.615383039195299","06:14","15.652800178527832","03:50","64.0","68.0","120.0","140.6","false","34.365710","-89.523405","34.364437","-89.539034","183","162","783","47.0","4.8","2.0","154.16","174.0","103.75","9270","","","","20.154342198273753","18.0","27.0"
"2023-01-03T17:01:19+18:00","2023-01-03T17:31:56+18:00","10238818080","Oxford Running","","Oxford","America/Chicago","+18:00","00:30:37","00:30:37","00:30:35","Any Activity Type","Running","Uncategorized","fēnix 5 – Sapphire Edition 25.0.0.0","Saucony Endorphin Speed 2","private","fit","4.84156","9.489599704742432","06:19","9.496834203827929","06:19","14.14079990386963","04:15","15.0","21.0","145.0","156.2","false","34.352970","-89.544422","34.340500","-89.553238","199","163","400","46.0","4.1","2.9","149.59","226.0","105.59","4552","","","","27.301501874923876","22.0","29.0"
