Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-03-13 08:31:49,false,"Oxford Running","3.01","412","00:33:24","155","171","3.2","148","193","11:06","4:47","46","62","0.98","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","00:30.92","4","66.2","00:32:54","00:33:24","444","487"
Treadmill Running,2023-03-01 16:02:40,false,"Treadmill Running","1.14","213","00:23:30","129","179","2.6","80","159","20:38","8:54","--","--","0.97","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","01:48.79","2","86.0","00:13:22","00:23:30","--","--"
Treadmill Running,2023-02-27 20:18:57,false,"Treadmill Running","2.01","292","00:21:56","158","166","3.3","145","164","10:54","9:53","--","--","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:13.16","3","89.6","00:21:31","00:21:56","--","--"
Indoor Running,2023-02-27 19:18:46,false,"Indoor Running","1.08","140","00:10:38","160","177","2.7","151","183","9:53","5:49","--","--","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","00:44.86","2","82.4","00:10:38","00:10:38","--","--"
Treadmill Running,2023-02-26 13:21:56,false,"Treadmill Running","1.18","270","00:22:31","153","188","3.3","84","164","19:05","8:21","--","--","1.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","02:33.50","2","89.6","00:12:37","00:22:31","--","--"
Indoor Running,2023-01-24 19:27:15,false,"Indoor Running","4.02","515","00:40:24","158","186","3.6","151","178","10:04","6:13","--","--","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","77.0","0:00","No","00:09.72","5","78.8","00:40:14","00:40:24","--","--"
Running,2023-01-19 11:37:15,false,"Oxford Running","3.01","381","00:33:17","153","166","3.0","150","162","11:03","9:02","66","52","0.97","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","73.4","0:00","No","00:10.08","4","78.8","00:33:16","00:33:17","465","499"
Running,2023-01-18 15:47:43,false,"Oxford Running","4.00","520","00:41:39","159","189","4.0","145","191","10:24","4:59","194","197","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","75.2","0:00","No","00:07.76","5","80.6","00:41:18","00:41:39","410","453"
Running,2023-01-17 17:49:54,false,"Oxford Running","3.04","372","00:33:27","154","165","3.0","150","166","11:00","8:30","43","59","0.97","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","00:31.22","4","80.6","00:33:24","00:33:27","472","510"
Running,2023-01-15 16:31:32,false,"Oxford Running","6.00","731","00:59:50","159","182","4.2","152","168","9:58","6:13","230","197","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","00:04.26","7","78.8","00:59:42","00:59:50","406","484"
